Year,Change in Temperature
1753.29,0.0760308
1754.04,-0.0404749
1755.04,0.2424154
1756.04,-0.1799402
1757.04,0.2392792
1758.04,-0.3031712
1759.04,0.0751038
1760.04,0.0673113
1761.04,0.1581583
1762.04,-0.2225427
1763.04,0.0511899
1764.04,0.0537634
1765.04,-0.0992394
1766.04,0.0980578
1767.04,-0.0305624
1768.04,0.0381097
1769.04,0.0017577
1770.04,-0.1012416
1771.04,0.0895042
1772.04,0.0508223
1773.04,-0.016079
1774.04,0.085824
1775.04,-0.0782738
1776.04,-0.0598707
1777.04,-0.1438513
1778.04,0.2256861
1779.04,-0.1571159
1780.04,0.1844253
1781.04,-0.116026
1782.04,-0.0665903
1783.04,0.0156307
1784.04,0.0629229
1785.04,-0.0674324
1786.04,0.0170297
1787.04,-0.0787754
1788.04,0.2828931
1789.04,-0.1097832
1790.04,-0.1760425
1791.04,0.0707026
1791.13,0.0606518
1792.04,0.0575028
1793.04,0.0227909
1794.04,-0.0615902
1795.04,-0.0309239
1796.04,0.0008593
1797.04,0.04844
1798.04,0.050744
1799.04,-0.0801778
1800.04,-0.0491371
1801.04,0.0711899
1802.04,-0.0102253
1802.13,0.1524534
1803.04,0.0430994
1804.04,0.0284042
1805.04,-0.0727654
1806.04,-0.057374
1807.04,0.0928898
1808.04,0.0255289
1809.04,-0.1496057
1810.04,0.0071788
1811.04,0.0621128
1812.04,0.0090633
1813.04,0.0212765
1814.04,-0.0860758
1815.04,0.0855646
1816.04,-0.1465721
1817.04,0.0340958
1818.04,0.0687475
1819.04,-0.0090757
1820.04,0.0111466
1821.04,-0.0363998
1822.04,0.0931968
1823.04,-0.0073929
1824.04,0.0333147
1825.04,-0.0748806
1826.04,0.0751771
1827.04,-0.0018826
1827.96,0.0258684
1828.04,-0.0038166
1829.04,-0.0118399
1830.04,0.0347633
1831.04,-0.1038418
1832.04,-0.0014911
1833.04,0.0128536
1834.04,0.0350723
1835.04,-0.0746469
1836.04,0.0403147
1837.04,-0.0192938
1838.04,0.0871215
1839.04,0.023016
1841.04,-0.0069838
1842.04,-0.0807209
1843.04,0.0335397
1844.04,-0.0049085
1845.04,0.0216856
1846.04,0.0632391
1847.04,-0.0449706
1848.04,0.0023661
1849.04,-0.0033112
1850.04,0.0024547
1851.04,0.0114593
1852.04,-0.012682
1853.04,0.0129328
1854.04,0.014162
1855.04,-0.0673437
1856.04,0.0029287
1857.04,-0.0171767
1858.04,-0.0147944
1859.04,0.0185166
1860.04,0.0200844
1861.04,-0.0037375
1862.04,0.0052242
1863.04,-0.0004377
1864.04,0.0295505
1865.04,0.0009413
1866.04,0.0254965
1867.04,-0.0378179
1868.04,0.0305147
1869.04,-0.0128431
1870.04,0.0187034
1871.04,-0.0199594
1872.04,-0.0085068
1873.04,0.0026683
1874.04,-0.0156546
1875.04,0.0121584
1876.04,0.0054302
1877.04,0.0295687
1878.04,-0.0087319
1879.04,-0.0283451
1880.04,-0.0155029
1881.04,0.0056858
1882.04,-0.0340204
1883.04,0.0300693
1884.04,-0.0231171
1885.04,0.0158625
1886.04,0.0211935
1887.04,-0.0107356
1888.04,0.0167541
1889.04,0.0029583
1890.04,-0.0194959
1891.04,-0.0101653
1892.04,-0.0044908
1893.04,0.0328665
1894.04,-0.0262499
1895.04,0.0076609
1896.04,0.0181847
1897.04,0.0050106
1898.04,-0.0200891
1899.04,-0.0019655
1900.04,0.0050869
1901.04,0.0128613
1902.04,-0.0097036
1903.04,-0.0188189
1904.04,-0.013588
1905.04,0.0286207
1906.04,0.0022183
1907.04,-0.0367622
1908.04,0.0378209
1909.04,-0.0116644
1910.04,0.0228901
1911.04,-0.0279875
1912.04,-0.0272388
1913.04,0.0360041
1914.04,0.0105552
1915.04,0.0188723
1916.04,-0.0368118
1917.04,0.0187082
1918.04,-0.0224877
1919.04,0.0187607
1920.04,0.0020008
1921.04,0.0173521
1922.04,-0.0148715
1923.04,-0.0256844
1923.13,0.003193
1924.04,0.0282488
1925.04,-0.0160551
1926.04,0.0051041
1927.04,0.012001
1928.04,0.0033293
1929.04,-0.0283375
1930.04,0.0399943
1931.04,0.0114946
1932.04,-0.0164929
1933.04,-0.0100479
1934.04,0.0034618
1935.04,0.003396
1936.04,0.0229988
1937.04,-0.0231533
1938.04,0.0095559
1939.04,-0.0055675
1940.04,0.0118742
1941.04,0.0114336
1942.04,-0.0387697
1943.04,0.0206309
1944.04,-0.0016212
1945.04,-0.0217304
1946.04,0.0167046
1947.04,-0.0040788
1948.04,0.006916
1949.04,-0.0170622
1950.04,-0.012023
1951.04,0.024065
1952.04,0.0176
1953.04,-0.0137109
1954.04,-0.0134306
1955.04,0.0046025
1956.04,-0.0054655
1957.04,-0.0133886
1958.04,0.0215464
1959.04,0.0231438
1960.04,-0.0298414
1961.04,0.0060358
1962.04,-0.0015021
1963.04,0.021679
1964.04,-0.01828
1965.04,-0.0063104
1966.04,0.0380096
1967.04,-0.0345536
1968.04,-0.0149737
1969.04,0.0180998
1970.04,0.0119734
1971.04,-0.0199337
1973.04,0.0141507
1974.04,-0.0161447
1975.04,0.0165777
1976.04,-0.0242672
1977.04,0.0350704
1978.04,-0.0176506
1979.04,-0.0213108
1980.04,0.0491371
1981.04,-0.0002002
1982.04,-0.0201025
1983.04,-0.0065765
1984.04,-0.0016632
1985.04,-0.0360299
1986.04,0.0286665
1987.04,0.0547018
1988.04,-0.0116301
1989.04,-0.0162611
1990.04,0.0090856
1991.04,0.0155077
1992.04,-0.0646992
1993.04,0.0412845
1994.04,0.0035391
1995.04,0.0318479
1996.04,-0.0225086
1997.04,-0.0134592
1998.04,0.0532504
1999.04,-0.0341978
2000.04,-0.004239
2001.04,0.0265684
2002.04,0.014162
2003.04,-0.0267983
2004.04,-0.056716
2005.04,0.0692024
2006.04,-0.0093651
2007.04,0.0097074
2008.04,-0.0048971
2009.04,-0.002017
2010.04,0.0099516
2011.04,0.0185929
1940,0.6
1920,-0.1
1900,-0.26
1880,-0.26
1860,-0.19
1840,-0.16
1820,-0.15
1800,-0.25
1780,-0.22
1760,-0.22
1740,-0.37
1720,-0.35
1700,-0.37
1680,-0.35
1660,-0.33
1640,-0.32
1620,-0.3
1600,-0.29
1580,-0.27
1560,-0.24
1540,-0.22
1520,-0.25
1500,-0.23
1480,-0.23
1460,-0.21
1440,-0.28
1420,-0.26
1400,-0.18
1380,-0.17
1360,-0.16
1340,-0.13
1320,-0.12
1300,-0.13
1280,-0.14
1260,-0.12
1240,-0.13
1220,-0.2
1200,-0.19
1180,-0.18
1160,-0.14
1140,-0.11
1120,-0.1
1100,-0.09
1080,-0.09
1060,-0.09
1040,-0.08
1020,-0.08
1000,-0.08
980,-0.07
960,-0.05
940,-0.06
920,-0.05
900,-0.04
880,-0.03
860,-0.02
840,0
820,0
800,0
780,0
760,0
740,0
720,-0.02
700,-0.02
680,-0.02
660,-0.02
640,-0.02
620,-0.03
600,-0.02
580,-0.02
560,-0.02
540,-0.02
520,-0.02
500,-0.07
480,-0.07
460,-0.08
440,-0.07
420,-0.06
400,-0.07
380,-0.07
360,-0.07
340,-0.07
320,-0.07
300,-0.07
280,-0.07
260,-0.07
240,-0.07
220,-0.07
200,-0.07
180,-0.06
160,-0.06
140,-0.06
120,-0.06
100,-0.06
80,-0.06
60,-0.06
40,-0.06
20,-0.06
0,-0.06
2017.5,0.166341648
2022.5,0.16797
2027.5,0.169288352
2032.5,0.170155141
2037.5,0.170443211
2042.5,0.170054963
2047.5,0.16892019
2052.5,0.166993617
2057.5,0.164251134
2062.5,0.160685518
2067.5,0.156302143
2072.5,0.151114949
2077.5,0.145142805
2082.5,0.138406306
2087.5,0.13092495
2092.5,0.122714603
2097.5,0.11378512
2102.5,0.101182022
2107.5,0.088229609
2112.5,0.07485424
2117.5,0.06274553
2122.5,0.052951786
2127.5,0.044932983
2132.5,0.03829413
2137.5,0.032743437
2142.5,0.02806276
2147.5,0.024086817
2152.5,0.020688569
2157.5,0.017768934
2162.5,0.006144884
2167.5,-0.002946975
2172.5,-0.01014772
2177.5,-0.015919007
2182.5,-0.020594726
2187.5,-0.024418
2192.5,-0.027567442
2197.5,-0.030175708
