Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths
Southern Severe Storms and Flooding (April 1980),Flooding,19800410,19800417,2346.4,7
Hurricane Allen (August 1980),Tropical Cyclone,19800807,19800811,1958.8,13
Central/Eastern Drought/Heatwave (Summer-Fall 1980),Drought,19800601,19801130,33266.4,1260
Florida Freeze (January 1981),Freeze,19810112,19810114,1698.8,0
"Severe Storms, Flash Floods, Hail, Tornadoes (May 1981)",Severe Storm,19810505,19810510,1192.4,20
"Midwest/Southeast/Northeast Winter Storm, Cold Wave (January 1982)",Winter Storm,19820108,19820116,1813.9,85
Midwest/Plains/Southeast Tornadoes (April 1982),Severe Storm,19820402,19820404,1324.3,33
Severe storms (June 1982),Severe Storm,19820531,19820610,1314.9,30
Gulf States Storms and Flooding (December 1982-January 1983),Flooding,19821201,19830115,4208.8,45
Western Storms & Flooding (December 1982-March 1983),Flooding,19821213,19830331,4108.9,50
Hurricane Alicia (August 1983),Tropical Cyclone,19830817,19830820,7920,21
Southeast Drought (Summer 1983),Drought,19830601,19830831,7825.2,0
"Freeze, Cold Wave (December 1983)",Freeze,19831215,19831225,5295.2,151
"Tornadoes, Severe Storms, Floods (Spring 1984)",Severe Storm,19840327,19840407,1531.9,80
Severe Storms and Hail (June 1984),Severe Storm,19840613,19840617,1133.3,1
Florida Freeze (January 1985),Freeze,19850120,19850122,2940,0
"Winter Storm, Cold Wave (January 1985)",Winter Storm,19850119,19850122,2050.7,150
Hurricane Elena (September 1985),Tropical Cyclone,19850830,19850903,3178.7,4
Hurricane Gloria (September 1985),Tropical Cyclone,19850926,19850928,2097.5,11
Hurricane Juan (October 1985),Tropical Cyclone,19851027,19851031,3667,63
"Virginia, West Virginia, Pennsylvania and Maryland Flooding (November 1985)",Flooding,19851103,19851108,3318,62
Western Severe Storms and Flooding (February 1986),Severe Storm,19860214,19860216,1250.2,13
Southeast Drought/Heatwave (Summer 1986),Drought,19860601,19860831,4256.6,100
U.S. Drought/Heatwave (Summer 1988),Drought,19880601,19880831,44808.5,454
Severe Storms (May 1989),Severe Storm,19890501,19890506,1180.1,21
Hurricane Hugo (September 1989),Tropical Cyclone,19890921,19890922,19259.9,86
Northern Plains Drought (Summer-Fall 1989),Drought,19890601,19891130,6426.9,0
Florida Freeze (December 1989),Freeze,19891223,19891225,4280,10
"Winter Storm, Cold Wave (December 1989)",Winter Storm,19891221,19891226,1455,100
Southern Flooding (May 1990),Flooding,19900511,19900519,2044,13
Colorado Hail Storm (July 1990),Severe Storm,19900711,19900711,1664.7,0
California Freeze (December 1990),Freeze,19901218,19901225,6902,0
"Severe Storms, Tornadoes (March 1991)",Severe Storm,19910326,19910329,1238.2,0
Hurricane Bob (August 1991),Tropical Cyclone,19910818,19910820,2885.6,18
U.S. Drought (Spring-Summer 1991),Drought,19910301,19910831,5776.4,0
Oakland Firestorm (October 1991),Wildfire,19911001,19911031,6336,25
Severe Storms (March 1992),Severe Storm,19920324,19920325,1504.1,0
"Hail, Tornadoes (April 1992)",Severe Storm,19920428,19920429,1784.7,0
"Severe Storms, Hail (June 1992)",Severe Storm,19920619,19920620,1398.8,0
Hurricane Andrew (August 1992),Tropical Cyclone,19920823,19920827,50490,61
Hurricane Iniki (September 1992),Tropical Cyclone,19920911,19920912,5797,7
Southeast Severe Weather (November 1992),Severe Storm,19921121,19921123,1228.8,26
Northeast Winter Storm (December 1992),Winter Storm,19921210,19921213,4643.3,19
East Coast Blizzard and Severe Weather (March 1993),Winter Storm,19930311,19930314,10004,270
Northern Plains and Ohio Valley Severe Weather (July 1993),Severe Storm,19930708,19930710,1152.8,1
Midwest Flooding (Summer 1993),Flooding,19930627,19930815,37939.4,48
Southeast Drought/Heat Wave (Summer 1993),Drought,19930601,19930831,2277,16
California Wildfires (Fall 1993),Wildfire,19930901,19931130,2482.4,4
"Winter Storm, Cold Wave (January 1994)",Winter Storm,19940117,19940120,1840.4,70
Southeast Ice Storm (February 1994),Winter Storm,19940208,19940213,5305.2,9
Midwest/Plains Tornadoes (April 1994),Severe Storm,19940425,19940427,1743.9,3
Tropical Storm Alberto (July 1994),Tropical Cyclone,19940707,19940710,1767.3,32
Texas Flooding (October 1994),Flooding,19941016,19941025,1770,19
Western Fire Season (Summer-Fall 1994),Wildfire,19940601,19941130,1283.4,0
California Flooding (January-March 1995),Flooding,19950101,19950331,4300,27
South Plains Severe Weather (May 1995),Severe Storm,19950505,19950507,9436.7,32
Hurricane Erin (August 1995),Tropical Cyclone,19950801,19950807,1462,6
Hurricane Marilyn (September 1995),Tropical Cyclone,19950915,19950917,3612,13
"Central, Southern and Northeast Drought/Heatwave (September 1995)",Drought,19950701,19950930,1663.4,872
Hurricane Opal (October 1995),Tropical Cyclone,19951004,19951006,8065.1,27
Blizzard/Floods (January 1996),Winter Storm,19960101,19960131,5045.1,187
Pacific Northwest Severe Flooding (February 1996),Flooding,19960207,19960212,1694,9
Southern Plains Drought (Spring-Summer 1996),Drought,19960301,19960831,3009.7,0
Hurricane Fran (September 1996),Tropical Cyclone,19960905,19960908,8411.8,37
West Coast Flooding (December 1996-January 1997),Flooding,19970101,19970111,4917.7,36
Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,19970228,19970305,1593.5,67
Northern Plains Flooding (Spring 1997),Flooding,19970203,19970524,5992.7,11
Northeast Ice Storm (January 1998),Winter Storm,19980105,19980109,2242.8,16
Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,19971201,19980228,1637.3,132
Minnesota Severe Storms/Hail (May 1998),Severe Storm,19980515,19980515,2610,1
"Severe Storms, Tornadoes (June 1998)",Severe Storm,19980530,19980602,1821.5,20
Tropical Storm Frances (September 1998),Tropical Cyclone,19980808,19980813,1120,2
Hurricane Bonnie (August 1998),Tropical Cyclone,19980827,19980829,1568,3
Southern Drought/Heat Wave (Summer 1998),Drought,19980601,19980831,5644.8,200
Hurricane Georges (September 1998),Tropical Cyclone,19980920,19980929,9575.2,16
Texas Flooding (October 1998),Flooding,19981016,19981024,1507.4,31
California Freeze (December 1998),Freeze,19981220,19981228,4000,0
Central and Eastern Winter Storm (January 1999),Winter Storm,19990101,19990104,1620.7,25
Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,19990113,19990116,1384.6,0
Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,19990503,19990506,3159.1,55
Eastern Drought/Heatwave (Summer 1999),Drought,19990601,19990831,3923.4,502
Hurricane Floyd (September 1999),Tropical Cyclone,19990914,19990916,10190.8,77
Southeast Winter Storm (January 2000),Winter Storm,20000121,20000124,1080.3,4
Western Fire Season (Spring-Summer 2000),Wildfire,20000301,20000831,1644.9,0
South Florida Flooding (October 2000),Flooding,20001003,20001004,1377,3
Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000),Drought,20000301,20001130,7645.6,140
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,20010406,20010411,4580.2,3
Tropical Storm Allison (June 2001),Tropical Cyclone,20010605,20010617,12612.6,43
Severe Storms and Tornadoes (April 2002),Severe Storm,20020427,20020428,3056.9,7
Hurricane Lili (October 2002),Tropical Cyclone,20020801,20020805,1612.6,2
Tropical Storm Isidore (September 2002),Tropical Cyclone,20020925,20020927,1644.5,5
Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,20021109,20021111,1029.6,28
U.S. Drought (Spring-Fall 2002),Drought,20020301,20021130,13135.8,0
Western Fire Season (Fall 2002),Wildfire,20020901,20021130,1931.2,21
Severe Storms/Hail (April 2003),Severe Storm,20030404,20030407,2849,3
Severe Storms/Tornadoes (May 2003),Severe Storm,20030503,20030510,5862.2,51
Midwest/Plains Severe Weather (July 2003),Severe Storm,20030704,20030709,1218.4,7
Severe Weather (July 2003),Severe Storm,20030721,20030723,1431.6,7
Hurricane Isabel (September 2003),Tropical Cyclone,20030918,20030919,7787.3,55
California Wildfires (Fall 2003),Wildfire,20030901,20031130,5524.5,22
Western/Central Drought/Heatwave (Spring-Fall 2003),Drought,20030301,20031130,7095.1,35
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,20040521,20040527,1419.6,4
Hurricane Charley (August 2004),Tropical Cyclone,20040813,20040814,22399.3,35
Hurricane Frances (September 2004),Tropical Cyclone,20040903,20040909,13720,48
Hurricane Ivan (September 2004),Tropical Cyclone,20040912,20040921,28700.7,57
Hurricane Jeanne (September 2004),Tropical Cyclone,20040915,20040929,10495.1,28
Southeast Severe Weather (March 2005),Severe Storm,20050324,20050327,1176.5,0
Hurricane Dennis (July 2005),Tropical Cyclone,20050709,20050711,3393.3,15
Hurricane Katrina (August 2005),Tropical Cyclone,20050825,20050830,170040.2,1833
Midwest Drought (Spring-Summer 2005),Drought,20050301,20050831,2005.8,0
Hurricane Rita (September 2005),Tropical Cyclone,20050920,20050924,25160.1,119
Hurricane Wilma (October 2005),Tropical Cyclone,20051024,20051024,25840,35
Severe Storms and Tornadoes (March 2006),Severe Storm,20060308,20060313,1738.9,10
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,20060406,20060408,2084.9,10
Midwest Tornadoes (April 2006),Severe Storm,20060413,20060416,3150.7,27
Northeast Flooding (June 2006),Flooding,20060625,20060628,1978,20
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,20060301,20060831,7797.3,0
Central Severe Weather (October 2006),Severe Storm,20061002,20061005,1142.7,1
Numerous Wildfires (2006),Wildfire,20060101,20061231,1907.2,28
California Freeze (January 2007),Freeze,20070111,20070117,1792,1
Spring Freeze (April 2007),Freeze,20070404,20070410,2616.2,0
East/South Severe Weather and Flooding (April 2007),Severe Storm,20070413,20070417,3209.9,9
Western Wildfires (Summer 2007),Wildfire,20070601,20070831,3509,12
Western/Eastern Drought/Heatwave (Summer-Fall 2007),Drought,20070601,20071130,4529.1,15
"Western, Central and Northeast Severe Weather (January 2008)",Severe Storm,20080104,20080109,1208.2,12
Southeast Tornadoes and Severe Weather (February 2008),Severe Storm,20080205,20080206,1490.4,57
Southeast Tornadoes (March 2008),Severe Storm,20080314,20080315,1391.1,5
Southern Severe Weather (April 2008),Severe Storm,20080409,20080411,1278.7,2
Midwest Tornadoes and Severe Weather (May 2008),Severe Storm,20080522,20080527,3726.3,13
Midwest/Mid-Atlantic Severe Weather (June 2008),Severe Storm,20080606,20080612,2012.2,18
Midwest Flooding (Summer 2008),Flooding,20080401,20080630,12248.9,24
Hurricane Dolly (July 2008),Tropical Cyclone,20080723,20080725,1558.7,3
Hurricane Gustav (September 2008),Tropical Cyclone,20080831,20080903,7376.3,53
Hurricane Ike (September 2008),Tropical Cyclone,20080912,20080914,36898.6,112
U.S. Wildfires (Fall 2008),Wildfire,20080901,20081130,1517.8,16
U.S. Drought (2008),Drought,20080101,20081231,8622.1,0
Southeast/Ohio Valley Severe Weather (February 2009),Severe Storm,20090210,20090211,2140.4,10
Midwest/Southeast Tornadoes (March 2009),Severe Storm,20090325,20090328,2017.9,0
South/Southeast Severe Weather & Tornadoes (April 2009),Severe Storm,20090409,20090410,1758.9,6
Central Tornadoes and Severe Weather (May 2009),Severe Storm,20090507,20090509,1041.9,7
"Midwest, South and East Severe Weather (June 2009)",Severe Storm,20090609,20090612,1633.4,0
Colorado Hail Storm (July 2009),Severe Storm,20090720,20090720,1230,0
Western Wildfires (Summer-Fall 2009),Wildfire,20090601,20091130,1244.7,10
Southwest/Great Plains Drought (2009),Drought,20090101,20091231,4295.2,0
Northeast Flooding (March 2010),Flooding,20100301,20100331,2194.6,11
East/South Flooding and Severe Weather (May 2010),Flooding,20100430,20100502,2696.8,32
"Oklahoma, Kansas, and Texas Tornadoes and Severe Weather (May 2010)",Severe Storm,20100510,20100512,3967.2,3
Rockies/Central/East Severe Weather (June 2010),Severe Storm,20100610,20100615,1072.3,2
Midwest/Northeast Severe Storms and Flooding (July 2010),Severe Storm,20100720,20100723,1128.5,0
Arizona Severe Weather (October 2010),Severe Storm,20101005,20101006,4522,0
Groundhog Day Blizzard (February 2011),Winter Storm,20110201,20110203,2099.1,36
Midwest/Southeast Tornadoes (April 2011),Severe Storm,20110404,20110405,3247.1,9
Southeast/Midwest Tornadoes (April 2011),Severe Storm,20110408,20110411,2549.9,0
Midwest/Southeast Tornadoes (April 2011),Severe Storm,20110414,20110416,2409.3,38
Ohio Valley/South Tornadoes (April 2011),Severe Storm,20110419,20110420,1213.8,0
Southeast/Ohio Valley/Midwest Tornadoes (April 2011),Severe Storm,20110425,20110428,11959.6,321
Midwest/Southeast Tornadoes (May 2011),Severe Storm,20110522,20110527,10643.3,177
Mississippi River flooding (April-May 2011),Flooding,20110401,20110531,3493.6,7
Midwest/Southeast Tornadoes and Severe Weather (June 2011),Severe Storm,20110618,20110622,1798.6,3
Missouri River flooding (May-June 2011),Flooding,20110501,20110630,2342.6,5
Rockies and Midwest Severe Weather (July 2011),Severe Storm,20110710,20110714,1433.4,2
Midwest/Southeast Severe Weather (August 2011),Severe Storm,20110817,20110818,1347.1,0
Hurricane Irene (August 2011),Tropical Cyclone,20110826,20110828,15787.9,45
Southern Plains/Southwest Drought & Heat Wave (Spring-Summer 2011),Drought,20110301,20110831,14044.5,95
Tropical Storm Lee (September 2011),Tropical Cyclone,20110901,20110905,2939.6,21
"Texas, New Mexico, Arizona Wildfires (Summer-Fall 2011)",Wildfire,20110601,20111130,2130.3,5
Southeast/Ohio Valley Tornadoes (March 2012),Severe Storm,20120302,20120303,3567,42
Texas Tornadoes (April 2012),Severe Storm,20120402,20120403,1157.4,0
Midwest Tornadoes (April 2012),Severe Storm,20120413,20120414,1280.9,6
Midwest/Ohio Valley Severe Weather (April-May 2012),Severe Storm,20120428,20120501,3734.9,1
Southern Plains/Midwest/Northeast Severe Weather (May 2012),Severe Storm,20120525,20120530,2626.2,1
Rockies/Southwest Severe Weather (June 2012),Severe Storm,20120606,20120612,2961.5,0
Plains/East/Northeast Severe Weather (June-July 2012),Severe Storm,20120629,20120702,3292.7,28
Hurricane Isaac (August 2012),Tropical Cyclone,20120826,20120831,3150.3,9
Hurricane Sandy (October 2012),Tropical Cyclone,20121030,20121031,74145.1,159
Western Wildfires (Summer-Fall 2012),Wildfire,20120601,20121130,1981.9,8
U.S. Drought/Heatwave (2012),Drought,20120101,20121231,34204.1,123
Southeast Severe Weather (March 2013),Severe Storm,20130318,20130318,2262.4,1
Midwest/Plains Severe Weather (April 2013),Severe Storm,20130407,20130411,1617.2,1
Illinois Flooding and Severe Weather (April 2013),Flooding,20130416,20130419,1206.2,4
Midwest/Plains/East Tornadoes (May 2013),Severe Storm,20130518,20130522,2688.2,27
Midwest/Plains/Northeast Tornadoes (May 2013),Severe Storm,20130527,20130531,2031,10
Midwest Severe Weather (August 2013),Severe Storm,20130806,20130807,1167,0
Colorado Flooding (September 2013),Flooding,20130910,20130916,1689.5,9
Ohio Valley Tornadoes (November 2013),Severe Storm,20131117,20131117,1221.5,8
Western/Plains Drought/Heatwave (Spring-Fall 2013),Drought,20130301,20131130,11677.1,53
Midwest/Southeast/Northeast Winter Storm (January 2014),Winter Storm,20140105,20140108,2411.7,16
Plains Severe Weather (April 2014),Severe Storm,20140402,20140403,1580.6,0
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Severe Storm,20140427,20140501,1927.1,33
Rockies/Midwest/Eastern Severe Weather (May 2014),Severe Storm,20140518,20140523,4121.7,0
Rockies/Central Plains Severe Weather (June 2014),Severe Storm,20140603,20140605,2130.2,2
Michigan and Northeast Flooding (August 2014),Flooding,20140811,20140813,1145.2,2
Rockies/Plains Severe Weather (September 2014),Severe Storm,20140929,20141002,1554.4,0
Western Drought (2014),Drought,20140101,20141231,4406.8,0
"Central and Eastern Winter storm, Cold Wave (February 2015)",Winter Storm,20150214,20150220,3288.1,30
Midwest/Ohio Valley Severe Weather (April 2015),Severe Storm,20150407,20150409,1726.9,2
South/Southeast Severe Weather (April 2015),Severe Storm,20150418,20150420,1425,0
Southern Plains Tornadoes (May 2015),Severe Storm,20150506,20150510,1412.1,4
Texas and Oklahoma Flooding and Severe Weather (May 2015),Flooding,20150523,20150526,2775.5,31
Central and Northeast Severe Weather (June 2015),Severe Storm,20150621,20150625,1300.9,1
South Carolina and East Coast Flooding (October 2015),Flooding,20151001,20151005,2218,25
Western and Alaskan Wildfires (Summer-Fall 2015),Wildfire,20150601,20151130,3361.1,12
Texas Tornadoes and Midwest Flooding (December 2015),Severe Storm,20151226,20151229,2177.9,50
Western Drought (2015),Drought,20150101,20151231,4957.4,0
Southeast and Eastern Tornadoes (February 2016),Severe Storm,20160222,20160224,1133.6,10
Texas and Louisiana Flooding (March 2016),Flooding,20160308,20160312,2501.3,5
Southern Severe Weather (March 2016),Severe Storm,20160317,20160318,1319.2,1
North Texas Hail Storm (March 2016),Severe Storm,20160323,20160324,2250.6,0
North/Central Texas Hail Storm (April 2016),Severe Storm,20160410,20160412,3813.5,0
Houston Flooding (April 2016),Flooding,20160417,20160418,2916.8,8
South/Southeast Tornadoes (April 2016),Severe Storm,20160426,20160502,2610.2,6
Plains Tornadoes and Central Severe Weather (May 2016),Severe Storm,20160508,20160511,1874.5,2
Rockies/Central Tornadoes and Severe Weather (May 2016),Severe Storm,20160521,20160526,1249.4,0
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Flooding,20160622,20160624,1056,23
Rockies and Northeast Severe Weather (July 2016),Severe Storm,20160728,20160730,1597.6,0
Louisiana Flooding (August 2016),Flooding,20160812,20160815,10900,13
Hurricane Matthew (October 2016),Tropical Cyclone,20161008,20161012,10900,49
West/Northeast/Southeast Drought (2016),Drought,20160101,20161231,3764.1,0
Western/Southeast Wildfires (Summer-Fall 2016),Wildfire,20160601,20161231,2610.8,21
Southern Tornado Outbreak and Western Storms (January 2017),Severe Storm,20170120,20170122,1182.5,24
California Flooding (February 2017),Flooding,20170208,20170222,1605,5
Central/Southeast Tornado Outbreak (March 2017),Severe Storm,20170228,20170301,1932.5,6
Midwest Tornado Outbreak (March 2017),Severe Storm,20170306,20170308,2328.5,2
Southeast Freeze (March 2017),Freeze,20170314,20170316,1070,0
South/Southeast Severe Weather (March 2017),Severe Storm,20170326,20170328,2883.7,0
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Flooding,20170425,20170507,1775.3,20
Colorado Hail Storm and Central Severe Weather (May 2017),Severe Storm,20170508,20170511,3584.5,0
Minnesota Hail Storm and Upper Midwest Severe Weather (June 2017),Severe Storm,20170609,20170611,2514.5,0
Midwest Severe Weather (June 2017),Severe Storm,20170612,20170616,1614.8,0
Midwest Severe Weather (June 2017),Severe Storm,20170627,20170629,1524.8,0
Hurricane Harvey (August 2017),Tropical Cyclone,20170825,20170831,131250,89
Hurricane Irma (September 2017),Tropical Cyclone,20170906,20170912,52500,97
Hurricane Maria (September 2017),Tropical Cyclone,20170919,20170921,94500,2981
"Western Wildfires, California Firestorm (Summer-Fall 2017)",Wildfire,20170601,20171231,18905.3,54
"North Dakota, South Dakota and Montana Drought (Spring-Fall 2017)",Drought,20170301,20171231,2625,0
